1|5.96|2.38|12.5|65.3|2019/10/16 13:15:39
1|-0.15|-0.06|12.3|65.4|2019/10/16 13:34:18
1|-13.68|-5.47|12.1|65.8|2019/10/16 13:43:48
1|-12.63|-5.05|12|66.3|2019/10/16 14:02:19
1|-9.96|-3.98|11.6|66.5|2019/10/16 14:27:10
1|9.14|3.65|11.7|66.8|2019/10/16 14:44:41
1|6.11|2.44|11.8|67|2019/10/16 15:09:11
1|-11.43|-4.57|11.8|67.5|2019/10/16 15:28:42
1|-16.59|-6.63|11.8|67.3|2019/10/16 15:40:42
1|-17.25|-6.9|19.6|72.1|2019/10/17 10:54:08
3|1354.18|528.13|17.7|61.9|2019/10/17 11:07:38
1|-26.29|-10.51|19.9|72|2019/10/17 11:13:09
3|1354.09|528.09|17.7|62|2019/10/17 11:14:39
3|1353.23|527.76|23.7|72|2019/10/18 14:00:51
1|-28.6|-10.98|21.3|74.4|2019/10/18 16:43:26
3|1353.23|527.76|19.8|56.9|2019/10/18 16:51:26
3|4355|3554|17.7|62|2019/10/28 11:14:39
1|23|111|2|3|2019/10/31 16:16:00
3|234|2.34235E+07|34|54|2019/10/31 16:18:00
3|234|222|34|54|2019/10/31 16:23:00
4|333|333|65|45|2019/11/12 11:28:55
5|666|666|43|45|2019/11/14 21:35:45
1|1271.3|864.1|22.3|864.1|2020/04/26 11:29:42
1|1271.3|864.1|22.3|864.1|2020/04/26 11:39:56
1|5.96|2.38|12.5|65.3|2019/10/16 13:15:39
1|-0.15|-0.06|12.3|65.4|2019/10/16 13:34:18
1|-13.68|-5.47|12.1|65.8|2019/10/16 13:43:48
1|-12.63|-5.05|12|66.3|2019/10/16 14:02:19
1|-9.96|-3.98|11.6|66.5|2019/10/16 14:27:10
1|9.14|3.65|11.7|66.8|2019/10/16 14:44:41
1|6.11|2.44|11.8|67|2019/10/16 15:09:11
1|-11.43|-4.57|11.8|67.5|2019/10/16 15:28:42
1|-16.59|-6.63|11.8|67.3|2019/10/16 15:40:42
1|-17.25|-6.9|19.6|72.1|2019/10/17 10:54:08
3|1354.18|528.13|17.7|61.9|2019/10/17 11:07:38
1|-26.29|-10.51|19.9|72|2019/10/17 11:13:09
3|1354.09|528.09|17.7|62|2019/10/17 11:14:39
3|1353.23|527.76|23.7|72|2019/10/18 14:00:51
1|-28.6|-10.98|21.3|74.4|2019/10/18 16:43:26
3|1353.23|527.76|19.8|56.9|2019/10/18 16:51:26
3|4355|3554|17.7|62|2019/10/28 11:14:39
1|23|111|2|3|2019/10/31 16:16:00
3|234|2.34235E+07|34|54|2019/10/31 16:18:00
3|234|222|34|54|2019/10/31 16:23:00
4|333|333|65|45|2019/11/12 11:28:55
5|666|666|43|45|2019/11/14 21:35:45
1|1271.3|864.1|22.3|864.1|2020/04/26 11:29:42
1|1271.3|864.1|22.3|864.1|2020/04/26 11:39:56
1|1271.3|864.1|22.3|864.1|2020/04/26 14:01:01
1|1271.3|864.1|22.3|864.1|2020/04/26 16:16:41
1|1271.3|864.1|22.3|864.1|2020/04/29 23:20:24
1|1271.3|864.1|22.3|864.1|2020/04/29 23:23:13
1|1271.3|864.1|22.3|864.1|2020/05/03 15:27:08
1|1271.3|864.1|22.3|864.1|2020/05/03 15:39:55
1|1271.3|864.1|22.3|864.1|2020/05/03 16:45:00
1|1271.3|864.1|22.3|864.1|2020/05/03 16:49:11
1|1271.3|864.1|22.3|864.1|2020/05/03 16:49:21
1|1564.3|864.1|22.3|864.1|2020/05/03 17:07:10
